ano,tipo,hechos_conocidos,hechos_esclarecidos,exceso,exceso_pct,hc_lag1,ok_por_desfase_1y,severidad
2010,1. CONTRA LAS PERSONAS,297488,244533,-52955,-0.17800718012155112,NA,FALSE,ok
2011,1. CONTRA LAS PERSONAS,300654,244461,-56193,-0.1869025524356902,297488,TRUE,ok
2012,1. CONTRA LAS PERSONAS,286446,237300,-49146,-0.1715716051192895,300654,TRUE,ok
2013,1. CONTRA LAS PERSONAS,274655,230390,-44265,-0.16116582621834666,286446,TRUE,ok
2014,1. CONTRA LAS PERSONAS,281713,233846,-47867,-0.1699140614739114,274655,TRUE,ok
2015,1. CONTRA LAS PERSONAS,223893,189246,-34647,-0.15474802695930645,281713,TRUE,ok
2016,1. CONTRA LAS PERSONAS,166431,145212,-21219,-0.12749427690754728,223893,TRUE,ok
2017,1. CONTRA LAS PERSONAS,174217,150363,-23854,-0.13692119597972643,166431,TRUE,ok
2018,1. CONTRA LAS PERSONAS,177165,153525,-23640,-0.13343493353653374,174217,TRUE,ok
2019,1. CONTRA LAS PERSONAS,186110,159909,-26201,-0.1407823330288539,177165,TRUE,ok
2020,1. CONTRA LAS PERSONAS,161406,141869,-19537,-0.12104258825570299,186110,TRUE,ok
2021,1. CONTRA LAS PERSONAS,183590,159540,-24050,-0.13099842039326762,161406,TRUE,ok
2022,1. CONTRA LAS PERSONAS,212804,181894,-30910,-0.14525102911599405,183590,TRUE,ok
2023,1. CONTRA LAS PERSONAS,226761,195302,-31459,-0.1387319689011779,212804,TRUE,ok
2010,1.1.-Homicidios dolosos/asesinatos,1177,1103,-74,-0.06287170773152082,NA,FALSE,ok
2011,1.1.-Homicidios dolosos/asesinatos,1210,1107,-103,-0.08512396694214876,1177,TRUE,ok
2012,1.1.-Homicidios dolosos/asesinatos,1125,1031,-94,-0.08355555555555555,1210,TRUE,ok
2013,1.1.-Homicidios dolosos/asesinatos,964,889,-75,-0.07780082987551867,1125,TRUE,ok
2014,1.1.-Homicidios dolosos/asesinatos,1048,950,-98,-0.0935114503816794,964,TRUE,ok
2015,1.1.-Homicidios dolosos/asesinatos,964,893,-71,-0.07365145228215768,1048,TRUE,ok
2016,1.1.-Homicidios dolosos/asesinatos,1107,1019,-88,-0.07949412827461608,964,TRUE,ok
2017,1.1.-Homicidios dolosos/asesinatos,1106,1029,-77,-0.06962025316455696,1107,TRUE,ok
2018,1.1.-Homicidios dolosos/asesinatos,1088,1008,-80,-0.07352941176470588,1106,TRUE,ok
2019,1.1.-Homicidios dolosos/asesinatos,1167,1090,-77,-0.06598114824335904,1088,TRUE,ok
2020,1.1.-Homicidios dolosos/asesinatos,1201,1101,-100,-0.08326394671107411,1167,TRUE,ok
2021,1.1.-Homicidios dolosos/asesinatos,1322,1165,-157,-0.11875945537065052,1201,TRUE,ok
2022,1.1.-Homicidios dolosos/asesinatos,1539,1384,-155,-0.10071474983755684,1322,TRUE,ok
2023,1.1.-Homicidios dolosos/asesinatos,1692,1544,-148,-0.08747044917257683,1539,TRUE,ok
2010,1.1.1.-Homicidios dolosos/asesinatos consumados,401,281,-120,-0.29925187032418954,NA,FALSE,ok
2011,1.1.1.-Homicidios dolosos/asesinatos consumados,385,271,-114,-0.2961038961038961,401,TRUE,ok
2012,1.1.1.-Homicidios dolosos/asesinatos consumados,364,252,-112,-0.3076923076923077,385,TRUE,ok
2013,1.1.1.-Homicidios dolosos/asesinatos consumados,302,228,-74,-0.24503311258278143,364,TRUE,ok
2014,1.1.1.-Homicidios dolosos/asesinatos consumados,323,232,-91,-0.28173374613003094,302,TRUE,ok
2015,1.1.1.-Homicidios dolosos/asesinatos consumados,302,244,-58,-0.1920529801324503,323,TRUE,ok
2016,1.1.1.-Homicidios dolosos/asesinatos consumados,294,210,-84,-0.2857142857142857,302,TRUE,ok
2017,1.1.1.-Homicidios dolosos/asesinatos consumados,307,236,-71,-0.23127035830618892,294,TRUE,ok
2018,1.1.1.-Homicidios dolosos/asesinatos consumados,289,227,-62,-0.21453287197231835,307,TRUE,ok
2019,1.1.1.-Homicidios dolosos/asesinatos consumados,331,254,-77,-0.2326283987915408,289,TRUE,ok
2020,1.1.1.-Homicidios dolosos/asesinatos consumados,298,279,-19,-0.06375838926174497,331,TRUE,ok
2021,1.1.1.-Homicidios dolosos/asesinatos consumados,293,261,-32,-0.10921501706484642,298,TRUE,ok
2022,1.1.1.-Homicidios dolosos/asesinatos consumados,326,319,-7,-0.02147239263803681,293,TRUE,ok
2023,1.1.1.-Homicidios dolosos/asesinatos consumados,333,315,-18,-0.05405405405405406,326,TRUE,ok
2010,1.2.-Lesiones,113067,88238,-24829,-0.21959546109828684,NA,FALSE,ok
2011,1.2.-Lesiones,112824,86806,-26018,-0.2306069630575055,113067,TRUE,ok
2012,1.2.-Lesiones,105913,83307,-22606,-0.2134393322821561,112824,TRUE,ok
2013,1.2.-Lesiones,100193,80397,-19796,-0.1975786731607997,105913,TRUE,ok
2014,1.2.-Lesiones,98821,78117,-20704,-0.2095101243662784,100193,TRUE,ok
2015,1.2.-Lesiones,97012,76483,-20529,-0.21161299633035088,98821,TRUE,ok
2016,1.2.-Lesiones,97108,77292,-19816,-0.2040614573464596,97012,TRUE,ok
2017,1.2.-Lesiones,100354,78624,-21730,-0.2165334715108516,97108,TRUE,ok
2018,1.2.-Lesiones,99928,78214,-21714,-0.21729645344648144,100354,TRUE,ok
2019,1.2.-Lesiones,103341,79537,-23804,-0.2303442002690123,99928,TRUE,ok
2020,1.2.-Lesiones,81449,64416,-17033,-0.20912472835762255,103341,TRUE,ok
2021,1.2.-Lesiones,96159,74813,-21346,-0.22198650152351831,81449,TRUE,ok
2022,1.2.-Lesiones,113704,86577,-27127,-0.23857559980299725,96159,TRUE,ok
2023,1.2.-Lesiones,118125,90444,-27681,-0.23433650793650793,113704,TRUE,ok
2010,1.3.-Malos tratos ámbito familiar,60307,59593,-714,-0.01183942162601356,NA,FALSE,ok
2011,1.3.-Malos tratos ámbito familiar,62260,61043,-1217,-0.01954706071313845,60307,TRUE,ok
2012,1.3.-Malos tratos ámbito familiar,59703,58903,-800,-0.01339966165854312,62260,TRUE,ok
2013,1.3.-Malos tratos ámbito familiar,59819,58989,-830,-0.01387519015697353,59703,TRUE,ok
2014,1.3.-Malos tratos ámbito familiar,62392,61442,-950,-0.01522631106552122,59819,TRUE,ok
2015,1.3.-Malos tratos ámbito familiar,64118,63117,-1001,-0.01561184066876696,62392,TRUE,ok
2016,1.3.-Malos tratos ámbito familiar,66102,65493,-609,-0.00921303440137968,64118,TRUE,ok
2017,1.3.-Malos tratos ámbito familiar,69812,68589,-1223,-0.0175184781985905,66102,TRUE,ok
2018,1.3.-Malos tratos ámbito familiar,72309,71414,-895,-0.0123774357272262,69812,TRUE,ok
2019,1.3.-Malos tratos ámbito familiar,77424,76160,-1264,-0.01632568712543914,72309,TRUE,ok
2020,1.3.-Malos tratos ámbito familiar,75203,73699,-1504,-0.01999920215948832,77424,TRUE,ok
2021,1.3.-Malos tratos ámbito familiar,82003,80426,-1577,-0.01923100374376547,75203,TRUE,ok
2022,1.3.-Malos tratos ámbito familiar,92695,90267,-2428,-0.02619343006634662,82003,TRUE,ok
2023,1.3.-Malos tratos ámbito familiar,101179,98901,-2278,-0.02251455341523438,92695,TRUE,ok
2010,1.4.-Otros contra las personas,122937,95599,-27338,-0.22237406151118053,NA,FALSE,ok
2011,1.4.-Otros contra las personas,124360,95505,-28855,-0.23202798327436475,122937,TRUE,ok
2012,1.4.-Otros contra las personas,119705,94059,-25646,-0.21424334823106805,124360,TRUE,ok
2013,1.4.-Otros contra las personas,113679,90115,-23564,-0.2072854265079742,119705,TRUE,ok
2014,1.4.-Otros contra las personas,119452,93337,-26115,-0.21862338010246793,113679,TRUE,ok
