X.Intercept.,X.L.l_det_tot_rate..1..,X.L.l_det_tot_rate..2..,l_share_extranjeros,X.L.l_share_extranjeros..1..,X.L.l_share_extranjeros..2..,l_pib_pc_real,X.L.l_pib_pc_real..1..,X.L.l_pib_pc_real..2..
1,7.994932454692285,7.714452961937589,-2.208392195476777,-2.182592733638803,-2.162992090774482,10.067305637765523,10.096584182498042,10.106836476522158
1,7.982514871443477,7.994932454692285,-2.259603611961879,-2.208392195476777,-2.182592733638803,10.056637732029802,10.067305637765523,10.096584182498042
1,7.979005924688926,7.982514871443477,-2.3291937908369236,-2.259603611961879,-2.208392195476777,10.074495349429808,10.056637732029802,10.067305637765523
1,7.920124255072914,7.979005924688926,-2.3520982941485964,-2.3291937908369236,-2.259603611961879,10.115367911571628,10.074495349429808,10.056637732029802
1,7.789943872879709,7.920124255072914,-2.359508327036664,-2.3520982941485964,-2.3291937908369236,10.143291544743445,10.115367911571628,10.074495349429808
1,7.757679616658522,7.789943872879709,-2.34659384908991,-2.359508327036664,-2.3520982941485964,10.170073661693175,10.143291544743445,10.115367911571628
1,7.775152961313235,7.757679616658522,-2.302282518971194,-2.34659384908991,-2.359508327036664,10.189418091949102,10.170073661693175,10.143291544743445
1,7.817735644810464,7.775152961313235,-2.2358698977905647,-2.302282518971194,-2.34659384908991,10.200996185805645,10.189418091949102,10.170073661693175
1,7.851659612304624,7.817735644810464,-2.1110192107094155,-2.2358698977905647,-2.302282518971194,10.1950371365144,10.200996185805645,10.189418091949102
1,8.051934410620456,7.851659612304624,-2.0396010578613226,-2.1110192107094155,-2.2358698977905647,10.20913232536208,10.1950371365144,10.200996185805645
